rs,lr,sr,alpha,aggregate,acc_train,kappa_train,acc_eval,kappa_eval,f1_weighted
1000,0.6,1.2,10000.0,mean,0.6041666666666666,0.4722222222222222,0.59375,0.45833333333333337,0.5268971020749784
1000,0.6,1.2,10000.0,concat,0.5451388888888888,0.3935185185185185,0.5555555555555556,0.40740740740740744,0.4958007175536745
1000,0.6,1.5,1.0,final,1.0,1.0,0.3993055555555556,0.19907407407407407,0.39813095524267633
1000,0.6,1.5,1.0,mean,0.8611111111111112,0.8148148148148149,0.65625,0.5416666666666667,0.6374461283408033
1000,0.6,1.5,1.0,concat,1.0,1.0,0.5520833333333334,0.4027777777777778,0.5401505035686159
1000,0.6,1.5,100.0,final,0.8611111111111112,0.8148148148148149,0.4444444444444444,0.2592592592592593,0.4446574169236039
1000,0.6,1.5,100.0,mean,0.7222222222222222,0.6296296296296297,0.5833333333333334,0.4444444444444444,0.5417415754526329
1000,0.6,1.5,100.0,concat,0.9131944444444444,0.8842592592592593,0.5902777777777778,0.4537037037037037,0.5648758337509728
1000,0.6,1.5,10000.0,final,0.4618055555555556,0.28240740740740744,0.4652777777777778,0.2870370370370371,0.41300160093230764
1000,0.6,1.5,10000.0,mean,0.6145833333333334,0.48611111111111116,0.5868055555555556,0.44907407407407407,0.5151747016712016
1000,0.6,1.5,10000.0,concat,0.6006944444444444,0.46759259259259256,0.5798611111111112,0.43981481481481477,0.5237397331480653
1000,0.6,2.0,1.0,final,1.0,1.0,0.3819444444444444,0.17592592592592593,0.37960134493712844
1000,0.6,2.0,1.0,mean,0.9201388888888888,0.8935185185185185,0.625,0.5,0.6035644578107999
1000,0.6,2.0,1.0,concat,1.0,1.0,0.5555555555555556,0.40740740740740744,0.5382681290543333
1000,0.6,2.0,100.0,final,0.9618055555555556,0.9490740740740741,0.3923611111111111,0.18981481481481477,0.3890725833550521
1000,0.6,2.0,100.0,mean,0.7534722222222222,0.6712962962962963,0.6111111111111112,0.4814814814814815,0.5795706717362256
1000,0.6,2.0,100.0,concat,0.9930555555555556,0.9907407407407407,0.5798611111111112,0.43981481481481477,0.559795919414897
1000,0.6,2.0,10000.0,final,0.5104166666666666,0.3472222222222222,0.4652777777777778,0.2870370370370371,0.40973740866794145
1000,0.6,2.0,10000.0,mean,0.6111111111111112,0.4814814814814815,0.6006944444444444,0.46759259259259256,0.5424080098803388
1000,0.6,2.0,10000.0,concat,0.6388888888888888,0.5185185185185186,0.5868055555555556,0.44907407407407407,0.5418655500477703
1000,0.9,0.7,1.0,final,0.96875,0.9583333333333334,0.3819444444444444,0.17592592592592593,0.38068075449070515
